City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2022-02-06 07:17:57,42.6001,-73.9662,7.27,76,8,2.89
1,Faanui,PF,2022-02-06 07:20:28,-16.4833,-151.75,81.36,74,19,20.78
2,Vao,NC,2022-02-06 07:20:29,-22.6667,167.4833,80.85,85,33,9.15
3,Vaini,TO,2022-02-06 07:20:29,-21.2,-175.2,73.56,100,100,13.8
4,Busselton,AU,2022-02-06 07:19:00,-33.65,115.3333,70.95,76,99,20.56
5,Mataura,NZ,2022-02-06 07:20:30,-46.1927,168.8643,53.47,58,1,3.78
6,Cape Town,ZA,2022-02-06 07:19:08,-33.9258,18.4232,85.1,45,0,5.75
7,Saint Anthony,US,2022-02-06 07:20:30,45.0205,-93.218,21.13,86,0,0.0
8,Hobyo,SO,2022-02-06 07:20:31,5.3505,48.5268,80.73,55,5,14.85
9,Bredasdorp,ZA,2022-02-06 07:20:31,-34.5322,20.0403,81.28,73,71,5.75
10,Rikitea,PF,2022-02-06 07:18:55,-23.1203,-134.9692,79.09,71,57,17.0
11,Trelew,AR,2022-02-06 07:20:32,-43.249,-65.3051,60.6,44,100,9.1
12,Muyezerskiy,RU,2022-02-06 07:20:33,63.9333,31.65,17.64,93,100,9.04
13,Hilo,US,2022-02-06 07:20:33,19.7297,-155.09,71.33,89,100,0.0
14,Puerto Ayora,EC,2022-02-06 07:20:33,-0.7393,-90.3518,74.55,94,58,5.99
15,Cayenne,GF,2022-02-06 07:20:34,4.9333,-52.3333,80.1,85,75,5.01
16,Kapaa,US,2022-02-06 07:20:34,22.0752,-159.319,71.92,84,75,8.05
17,Hermanus,ZA,2022-02-06 07:18:55,-34.4187,19.2345,82.9,59,96,4.14
18,Aitape,PG,2022-02-06 07:20:35,-3.1374,142.3475,83.14,76,100,8.63
19,Bara,NG,2022-02-06 07:20:35,10.3744,10.7288,64.18,27,0,8.63
20,Dikson,RU,2022-02-06 07:19:05,73.5069,80.5464,-22.97,100,100,4.74
21,Leh,IN,2022-02-06 07:20:36,34.1667,77.5833,12.43,87,100,2.28
22,Lompoc,US,2022-02-06 07:20:37,34.6391,-120.4579,55.13,84,0,6.91
23,Quatre Cocos,MU,2022-02-06 07:17:23,-20.2078,57.7625,84.31,76,100,15.32
24,Kodiak,US,2022-02-06 07:20:37,57.79,-152.4072,38.71,81,100,8.05
25,San Andres,CO,2022-02-06 07:16:13,12.5847,-81.7006,78.82,78,40,8.05
26,College,US,2022-02-06 07:20:38,64.8569,-147.8028,5.58,81,100,0.0
27,Davila,PH,2022-02-06 07:20:38,18.4726,120.5763,87.78,68,75,19.1
28,Avarua,CK,2022-02-06 07:19:02,-21.2078,-159.775,77.05,83,75,8.05
29,Krasnyy Gulyay,RU,2022-02-06 07:20:39,54.0282,48.3333,22.59,94,100,6.11
30,Port Alfred,ZA,2022-02-06 07:20:39,-33.5906,26.891,75.97,75,3,26.19
31,Broome,US,2022-02-06 07:20:39,42.2506,-75.833,6.01,81,12,4.0
32,Kahului,US,2022-02-06 07:17:54,20.8947,-156.47,74.84,79,0,13.8
33,Tautira,PF,2022-02-06 07:20:40,-17.7333,-149.15,82.42,74,36,20.33
34,Lebu,CL,2022-02-06 07:16:41,-37.6167,-73.65,56.52,92,3,13.76
35,Nouadhibou,MR,2022-02-06 07:20:41,20.931,-17.0347,62.58,94,75,9.22
36,Bilma,NE,2022-02-06 07:20:41,18.6853,12.9164,55.51,23,0,7.2
37,Astoria,US,2022-02-06 07:20:41,46.1879,-123.8313,41.86,91,0,8.01
38,Saskylakh,RU,2022-02-06 07:20:42,71.9167,114.0833,-25.2,100,98,2.46
39,Ushuaia,AR,2022-02-06 07:18:53,-54.8,-68.3,44.26,70,0,5.75
40,Ribeira Grande,PT,2022-02-06 07:20:42,38.5167,-28.7,57.6,82,20,14.97
41,Atuona,PF,2022-02-06 07:20:13,-9.8,-139.0333,79.03,78,3,24.05
42,Naze,JP,2022-02-06 07:19:09,28.3667,129.4833,50.92,66,100,14.41
43,Kalmunai,LK,2022-02-06 07:20:43,7.4167,81.8167,82.4,55,38,9.33
44,Mubi,NG,2022-02-06 07:20:44,10.2676,13.2644,68.65,18,0,2.8
45,Ponta Do Sol,PT,2022-02-06 07:21:44,32.6667,-17.1,65.12,53,39,14.07
46,Cockburn Town,TC,2022-02-06 07:21:12,21.4612,-71.1419,75.76,66,0,16.13
47,Kijang,KR,2022-02-06 07:21:45,35.2442,129.2139,42.53,37,100,14.36
48,Poplar Bluff,US,2022-02-06 07:21:45,36.757,-90.3929,24.58,79,0,0.0
49,Nikolskoye,RU,2022-02-06 07:21:46,59.7035,30.7861,26.49,97,89,5.48
50,Amuntai,ID,2022-02-06 07:21:46,-2.4177,115.2494,86.5,66,47,2.44
51,East London,ZA,2022-02-06 07:21:47,-33.0153,27.9116,76.14,78,20,13.8
52,Katherine,AU,2022-02-06 07:21:47,-14.4667,132.2667,80.92,83,74,11.5
53,Malanje,AO,2022-02-06 07:21:47,-9.5402,16.341,66.67,91,100,5.01
54,Punta Arenas,CL,2022-02-06 07:17:40,-53.15,-70.9167,44.71,87,40,3.44
55,Palmer,US,2022-02-06 07:21:48,42.1584,-72.3287,14.61,77,12,1.21
